 time             v(vi)            v(vc)           
 2.510000000e-08  3.291423924e-01  3.280544221e-01 
 2.710000000e-08  4.833204931e-01  4.828139341e-01 
 2.910000000e-08  4.647961679e-01  4.654916550e-01 
 3.110000000e-08  2.910251466e-01  2.921430602e-01 
 3.310000000e-08  1.257077186e-01  1.262040460e-01 
 3.510000000e-08  1.245836598e-01  1.241239651e-01 
 3.710000000e-08  2.887180667e-01  2.876509709e-01 
 3.910000000e-08  4.634796392e-01  4.627697208e-01 
 4.110000000e-08  4.842290874e-01  4.847060398e-01 
 4.310000000e-08  3.314244738e-01  3.325573989e-01 
 4.510000000e-08  1.490156093e-01  1.496872393e-01 
 4.710000000e-08  1.088416155e-01  1.085660785e-01 
 4.910000000e-08  2.487555396e-01  2.477499176e-01 
 5.110000000e-08  4.369457573e-01  4.360717809e-01 
 5.310000000e-08  4.961198323e-01  4.963530056e-01 
 5.510000000e-08  3.705372763e-01  3.716359047e-01 
 5.710000000e-08  1.785046069e-01  1.793327303e-01 
 5.910000000e-08  1.009258143e-01  1.008430488e-01 
 6.110000000e-08  2.108909820e-01  2.099823591e-01 
 6.310000000e-08  4.048050915e-01  4.038122109e-01 
 6.510000000e-08  4.999815603e-01  4.999597458e-01 
 6.710000000e-08  4.067623396e-01  4.077752971e-01 
 6.910000000e-08  2.129674257e-01  2.139266272e-01 
 7.110000000e-08  1.011602441e-01  1.012738293e-01 
 1.100000000e-09  4.229168932e-01  4.218102405e-01 
 3.100000000e-09  4.906133232e-01  4.910506323e-01 
 5.100000000e-09  3.094892864e-01  3.108497640e-01 
 7.100000000e-09  1.159764728e-01  1.164548071e-01 
 9.100000000e-09  1.626837679e-01  1.618269786e-01 
 1.110000000e-08  3.886468260e-01  3.874136117e-01 
 1.310000000e-08  4.988860101e-01  4.990230435e-01 
 1.510000000e-08  3.495044293e-01  3.508548175e-01 
 1.710000000e-08  1.355005763e-01  1.361992253e-01 
 1.910000000e-08  1.362286707e-01  1.355645755e-01 
 2.110000000e-08  3.507472900e-01  3.494548530e-01 
 2.310000000e-08  4.990164554e-01  4.988485702e-01 
 2.510000000e-08  3.874928735e-01  3.887722098e-01 
 2.710000000e-08  1.617590755e-01  1.626593794e-01 
 2.910000000e-08  1.164787002e-01  1.160274754e-01 
 3.110000000e-08  3.107698977e-01  3.094734640e-01 
 3.310000000e-08  4.909992305e-01  4.905392439e-01 
 3.510000000e-08  4.218994498e-01  4.230461713e-01 
 3.710000000e-08  1.936769125e-01  1.947524051e-01 
 3.910000000e-08  1.042423999e-01  1.040179969e-01 
 4.110000000e-08  2.703514117e-01  2.691023037e-01 
 4.310000000e-08  4.751624559e-01  4.744389936e-01 
 4.510000000e-08  4.513156197e-01  4.522717188e-01 
 4.710000000e-08  2.299473728e-01  2.311633756e-01 
 4.910000000e-08  1.000206469e-01  1.000309067e-01 
 5.110000000e-08  2.311466809e-01  2.299908248e-01 
 5.310000000e-08  4.521543780e-01  4.512088661e-01 
 5.510000000e-08  4.745371346e-01  4.752526641e-01 
 5.710000000e-08  2.690855835e-01  2.703991538e-01 
 5.910000000e-08  1.039861629e-01  1.042327856e-01 
 6.110000000e-08  1.947608802e-01  1.937379822e-01 
 6.310000000e-08  4.229168581e-01  4.217997460e-01 
 6.510000000e-08  4.906133230e-01  4.910506317e-01 
 6.710000000e-08  3.094892866e-01  3.108497646e-01 
 6.910000000e-08  1.159764730e-01  1.164548065e-01 
 7.110000000e-08  1.626837675e-01  1.618269784e-01 
 1.100000000e-09  4.395322065e-01  4.383432798e-01 
 3.100000000e-09  4.627228757e-01  4.637117024e-01 
 5.100000000e-09  2.097550909e-01  2.110963727e-01 
 7.100000000e-09  1.099398233e-01  1.095339882e-01 
 9.100000000e-09  3.326894204e-01  3.311758516e-01 
 1.110000000e-08  4.999555966e-01  4.999488417e-01 
 1.310000000e-08  3.278710553e-01  3.294639053e-01 
 1.510000000e-08  1.084840302e-01  1.089003427e-01 
 1.710000000e-08  2.141262508e-01  2.128450948e-01 
 1.910000000e-08  4.655110114e-01  4.645440323e-01 
 2.110000000e-08  4.359955627e-01  4.372361219e-01 
 2.310000000e-08  1.756808932e-01  1.768351394e-01 
 2.510000000e-08  1.263476075e-01  1.256846936e-01 
 2.710000000e-08  3.717335364e-01  3.702595628e-01 
 2.910000000e-08  4.953712170e-01  4.957185528e-01 
 3.110000000e-08  2.874403212e-01  2.890097977e-01 
 3.310000000e-08  1.008215134e-01  1.009625813e-01 
 3.510000000e-08  2.522388178e-01  2.508275940e-01 
 3.710000000e-08  4.847136185e-01  4.840316978e-01 
 3.910000000e-08  4.037008133e-01  4.051296739e-01 
 4.110000000e-08  1.466960205e-01  1.476275283e-01 
 4.310000000e-08  1.498651096e-01  1.489656698e-01 
 4.510000000e-08  4.078405266e-01  4.064714818e-01 
 4.710000000e-08  4.827885864e-01  4.834742176e-01 
 4.910000000e-08  2.475236285e-01  2.490064753e-01 
 5.110000000e-08  1.013134421e-01  1.011780047e-01 
 5.310000000e-08  2.923067184e-01  2.908158173e-01 
 5.510000000e-08  4.963539532e-01  4.959976557e-01 
 5.710000000e-08  3.671606918e-01  3.687075670e-01 
 5.910000000e-08  1.239871397e-01  1.246696948e-01 
 6.110000000e-08  1.795295071e-01  1.784214733e-01 
 6.310000000e-08  4.395321542e-01  4.383333876e-01 
 6.510000000e-08  4.627228738e-01  4.637116992e-01 
 6.710000000e-08  2.097550895e-01  2.110963702e-01 
 6.910000000e-08  1.099398234e-01  1.095339882e-01 
 7.110000000e-08  3.326894204e-01  3.311758513e-01 
 1.100000000e-09  4.544487902e-01  4.532260825e-01 
 3.100000000e-09  4.190227059e-01  4.205627805e-01 
 5.100000000e-09  1.334986489e-01  1.344176887e-01 
 7.100000000e-09  1.978395887e-01  1.964609919e-01 
 9.100000000e-09  4.768531194e-01  4.759194667e-01 
 1.110000000e-08  3.842424630e-01  3.859568525e-01 
 1.310000000e-08  1.146152989e-01  1.152369733e-01 
 1.510000000e-08  2.345349616e-01  2.329848575e-01 
 1.710000000e-08  4.920169729e-01  4.914342915e-01 
 1.910000000e-08  3.460134210e-01  3.478202627e-01 
 2.110000000e-08  1.033214523e-01  1.036310145e-01 
 2.310000000e-08  2.739105373e-01  2.722429557e-01 
 2.510000000e-08  4.993196442e-01  4.991243546e-01 
 2.710000000e-08  3.059005577e-01  3.077185190e-01 
 2.910000000e-08  1.000796530e-01  1.000716455e-01 
 3.110000000e-08  3.143540972e-01  3.126309061e-01 
 3.310000000e-08  4.984623138e-01  4.986702973e-01 
 3.510000000e-08  2.655459819e-01  2.672987953e-01 
 3.710000000e-08  1.050227914e-01  1.047004957e-01 
 3.910000000e-08  3.542097158e-01  3.524993767e-01 
 4.110000000e-08  4.894802099e-01  4.900846997e-01 
 4.310000000e-08  2.266017039e-01  2.282214252e-01 
 4.510000000e-08  1.179486476e-01  1.173237755e-01 
 4.710000000e-08  3.918455927e-01  3.902211085e-01 
 4.910000000e-08  4.727411262e-01  4.737127123e-01 
 5.110000000e-08  1.906620284e-01  1.920909987e-01 
 5.310000000e-08  1.383281285e-01  1.374207232e-01 
 5.510000000e-08  4.257208690e-01  4.242567989e-01 
 5.710000000e-08  4.489303726e-01  4.502192383e-01 
 5.910000000e-08  1.591982990e-01  1.603899938e-01 
 6.110000000e-08  1.653269099e-01  1.641654169e-01 
 6.310000000e-08  4.544487191e-01  4.532172642e-01 
 6.510000000e-08  4.190227082e-01  4.205627833e-01 
 6.710000000e-08  1.334986497e-01  1.344176899e-01 
 6.910000000e-08  1.978395893e-01  1.964609933e-01 
 7.110000000e-08  4.768531200e-01  4.759194675e-01 
 1.100000000e-09  4.674851140e-01  4.662826264e-01 
 3.100000000e-09  3.637614115e-01  3.657557466e-01 
 5.100000000e-09  1.005514361e-01  1.007095225e-01 
 7.100000000e-09  3.362250551e-01  3.342872150e-01 
 9.100000000e-09  4.812849808e-01  4.821874054e-01 
