 time             v(vip)           v(vop)           v(von)          
 2.990000000e-08  3.306301041e-01  3.232112429e-01  8.755334644e-01 
 3.190000000e-08  8.371894228e-01  6.218758758e-01  5.796749529e-01 
 3.390000000e-08  6.604562161e-01  8.579434741e-01  3.429842215e-01 
 3.590000000e-08  3.095598702e-01  3.514523730e-01  8.474336066e-01 
 3.790000000e-08  7.953606511e-01  5.618393834e-01  6.401561814e-01 
 3.990000000e-08  7.183682867e-01  8.824892904e-01  3.177426013e-01 
 4.190000000e-08  3.003852054e-01  3.899925079e-01  8.092993638e-01 
 4.390000000e-08  7.455302676e-01  5.033010428e-01  6.989019795e-01 
 4.590000000e-08  7.714339594e-01  8.955096634e-01  3.040652243e-01 
 4.790000000e-08  3.034744120e-01  4.372206278e-01  7.626728035e-01 
 4.990000000e-08  6.897441500e-01  4.486247211e-01  7.535137688e-01 
 5.190000000e-08  8.174806791e-01  8.965015595e-01  3.025621188e-01 
 5.390000000e-08  3.187023291e-01  4.911688603e-01  7.094190178e-01 
 5.590000000e-08  6.302818920e-01  4.000695151e-01  8.017345393e-01 
 5.790000000e-08  8.546249715e-01  8.854506835e-01  3.133314583e-01 
 5.990000000e-08  3.454467517e-01  5.495683914e-01  6.516900349e-01 
 6.190000000e-08  5.695809138e-01  3.596260977e-01  8.416293121e-01 
 6.390000000e-08  8.813447007e-01  8.628192051e-01  3.359605141e-01 
 6.590000000e-08  3.826136176e-01  6.099800149e-01  5.918196971e-01 
 6.790000000e-08  5.101249653e-01  3.289801927e-01  8.716021905e-01 
 6.990000000e-08  8.965490833e-01  8.295327336e-01  3.695263797e-01 
 7.190000000e-08  4.286800753e-01  6.698983724e-01  5.322332505e-01 
 1.900000000e-09  8.562250002e-01  8.764726232e-01  3.210352847e-01 
 3.900000000e-09  3.197767781e-01  5.177907184e-01  6.831030908e-01 
 5.900000000e-09  6.868309616e-01  4.255024915e-01  7.765286740e-01 
 7.900000000e-09  7.739242711e-01  8.971668640e-01  3.022107425e-01 
 9.900000000e-09  3.002472204e-01  4.111091983e-01  7.884670824e-01 
 1.190000000e-08  7.930360149e-01  5.345177160e-01  6.675898795e-01 
