 time                v(vi1)              v(vo1)              v(vo2)              v(vo3)             
 1.600000000000e-08  4.553042246305e-01  4.627984496737e-01  4.588823511920e-01  4.583431521138e-01 
 1.800000000000e-08  2.646220699166e-01  2.703907600803e-01  2.699065147748e-01  2.693972840049e-01 
 2.000000000000e-08  1.105353977835e-01  1.119029560155e-01  1.122213023295e-01  1.121438243357e-01 
 2.200000000000e-08  1.524338647962e-01  1.495923357846e-01  1.491711677964e-01  1.493470093209e-01 
 2.400000000000e-08  3.469770432894e-01  3.399653478320e-01  3.416174041722e-01  3.422461797353e-01 
 2.600000000000e-08  4.929264356187e-01  4.880875440233e-01  4.911828727889e-01  4.914917952952e-01 
 2.800000000000e-08  4.393097143454e-01  4.473433643312e-01  4.433867518690e-01  4.427865670225e-01 
 3.000000000000e-08  2.415888520824e-01  2.468489245936e-01  2.466773719715e-01  2.462245835670e-01 
 3.200000000000e-08  1.042893921203e-01  1.051866893825e-01  1.054135153622e-01  1.053632078171e-01 
 3.400000000000e-08  1.694360369657e-01  1.661246519712e-01  1.657236703903e-01  1.659443844027e-01 
 3.600000000000e-08  3.696400812584e-01  3.622551057679e-01  3.643889204743e-01  3.650446937221e-01 
 3.800000000000e-08  4.978073394927e-01  4.944345695814e-01  4.967452906181e-01  4.969455459574e-01 
 4.000000000000e-08  4.213596010416e-01  4.296182558738e-01  4.258655426436e-01  4.252222062281e-01 
 4.200000000000e-08  2.193755987260e-01  2.241305667182e-01  2.242030469205e-01  2.238082974890e-01 
 4.400000000000e-08  1.007907343888e-01  1.012192067452e-01  1.013428175664e-01  1.013169078846e-01 
 4.600000000000e-08  1.882710409763e-01  1.844879044852e-01  1.841502408712e-01  1.844204885307e-01 
 4.800000000000e-08  3.913255251394e-01  3.836372095512e-01  3.862621523497e-01  3.869317031277e-01 
 5.000000000000e-08  4.999114619190e-01  4.982334249228e-01  4.995520317599e-01  4.996366744081e-01 
 5.200000000000e-08  4.017058649625e-01  4.099363479573e-01  4.065649281079e-01  4.058965899578e-01 
 5.400000000000e-08  1.982941352327e-01  2.025496426407e-01  2.028011466929e-01  2.024637888871e-01 
 5.600000000000e-08  1.000885380743e-01  1.000492385297e-01  1.000640428515e-01  1.000610565601e-01 
 5.800000000000e-08  2.086744746587e-01  2.044176163553e-01  2.041923287020e-01  2.045159552241e-01 
 6.000000000000e-08  4.117289588356e-01  4.038376762473e-01  4.069324793556e-01  4.076006692737e-01 
 6.200000000000e-08  4.992092656314e-01  4.993689710913e-01  4.995607228167e-01  4.995266208451e-01 
 6.400000000000e-08  3.806244014816e-01  3.886395244692e-01  3.857568645673e-01  3.850811734473e-01 
 6.600000000000e-08  1.786403991388e-01  1.824026445831e-01  1.827737166798e-01  1.824912506654e-01 
 6.800000000000e-08  1.021926604739e-01  1.016863289576e-01  1.015926993397e-01  1.016125533670e-01 
 7.000000000000e-08  2.303599185289e-01  2.256278494965e-01  2.255692682967e-01  2.259488599895e-01 
 7.200000000000e-08  4.305639628626e-01  4.226069396111e-01  4.261117801555e-01  4.267620420231e-01 
 7.400000000000e-08  4.957106079264e-01  4.977379395711e-01  4.967680442346e-01  4.966160769574e-01 
 7.600000000000e-08  3.584111481345e-01  3.660826765301e-01  3.637351571040e-01  3.630685236087e-01 
 7.800000000000e-08  1.606902858174e-01  1.639651384885e-01  1.644029355698e-01  1.641714633417e-01 
 8.000000000000e-08  1.070735643215e-01  1.061006536359e-01  1.059048684645e-01  1.059488657657e-01 
 8.200000000000e-08  2.530229564903e-01  2.478156214380e-01  2.479821995616e-01  2.484186714416e-01 
 8.400000000000e-08  4.475661350509e-01  4.397222998284e-01  4.435323407548e-01  4.441472878253e-01 
 8.600000000000e-08  4.894646022891e-01  4.932629834136e-01  4.912099851059e-01  4.909450277843e-01 
 8.800000000000e-08  3.353779303063e-01  3.426243016983e-01  3.408112072550e-01  3.401681872714e-01 
 9.000000000000e-08  1.446957755124e-01  1.474883457097e-01  1.479471223322e-01  1.477618345985e-01 
 9.200000000000e-08  1.146627324259e-01  1.132233926676e-01  1.129376566211e-01  1.130083838521e-01 
 9.400000000000e-08  2.763454491671e-01  2.706657236300e-01  2.711182171067e-01  2.716104549132e-01 
 9.600000000000e-08  4.624968021722e-01  4.549883146220e-01  4.589505004690e-01  4.595126301686e-01 
 9.800000000000e-08  4.805589289470e-01  4.859122483381e-01  4.829615510877e-01  4.825922437879e-01 
 1.000000000000e-07  3.118480838867e-01  3.186216396752e-01  3.173094829548e-01  3.167023109727e-01 
 1.020000000000e-07  1.308813960883e-01  1.331958912050e-01  1.336371098479e-01  1.334927766829e-01 
 1.040000000000e-07  1.248536295030e-01  1.229476604579e-01  1.225901888028e-01  1.226913226188e-01 
 1.060000000000e-07  2.999999998866e-01  2.938559018922e-01  2.946546900729e-01  2.951992699638e-01 
 1.080000000000e-07  4.751463703877e-01  4.682348096792e-01  4.721499940316e-01  4.726424520544e-01 
 1.100000000000e-07  4.691186040330e-01  4.757195943606e-01  4.721359128285e-01  4.716742266680e-01 
 1.120000000000e-07  2.881519163403e-01  2.944280156451e-01  2.935627876763e-01  2.930010763796e-01 
 1.140000000000e-07  1.194404340069e-01  1.212801808215e-01  1.216724014139e-01  1.215638416849e-01 
 0.000000000000e+00  3.000000000005e-01  8.711534733371e-04  8.904111956709e-04  2.617090360689e-03 
 2.000000000000e-09  4.853371150328e-01  4.785983805513e-01  4.826614928809e-01  4.831187893077e-01 
 4.000000000000e-09  4.393095998038e-01  4.482205345781e-01  4.438270084198e-01  4.431630779911e-01 
 6.000000000000e-09  2.193756650863e-01  2.246764261817e-01  2.247504534375e-01  2.243090797689e-01 
 8.000000000000e-09  1.000887024959e-01  1.000546115462e-01  1.000762645538e-01  1.000718774388e-01 
 1.000000000000e-08  2.303599757571e-01  2.251177740380e-01  2.250484598858e-01  2.254675516044e-01 
 1.200000000000e-08  4.475660136449e-01  4.388626924680e-01  4.430740244302e-01  4.437590607569e-01 
 1.400000000000e-08  4.805587804638e-01  4.863895030350e-01  4.832083436843e-01  4.828038126156e-01 
 1.600000000000e-08  2.881519261374e-01  2.951505047886e-01  2.941696624034e-01  2.935431307778e-01 
 1.800000000000e-08  1.105355536313e-01  1.120651974821e-01  1.124234912022e-01  1.123360565876e-01 
 2.000000000000e-08  1.694361443118e-01  1.657689678262e-01  1.653246466783e-01  1.655678258901e-01 
 2.200000000000e-08  3.913254499791e-01  3.828094343434e-01  3.856974853205e-01  3.864406096432e-01 
 2.400000000000e-08  4.992091017905e-01  4.992394219862e-01  4.995771222753e-01  4.995460429772e-01 
 2.600000000000e-08  3.584111001429e-01  3.669666325473e-01  3.643255203044e-01  3.635839095158e-01 
 2.800000000000e-08  1.446959032803e-01  1.478106612611e-01  1.483222594811e-01  1.481144227399e-01 
 3.000000000000e-08  1.248537735318e-01  1.227463214155e-01  1.223534289015e-01  1.224643606454e-01 
 3.200000000000e-08  3.236545310998e-01  3.163530167975e-01  3.176703503487e-01  3.183245355662e-01 
 3.400000000000e-08  4.929262769267e-01  4.874766138883e-01  4.909690038407e-01  4.913179025746e-01 
 3.600000000000e-08  4.213595012677e-01  4.305440573148e-01  4.263565514534e-01  4.256435613113e-01 
 3.800000000000e-08  1.982942189292e-01  2.030381703972e-01  2.033141602576e-01  2.029366611994e-01 
 4.000000000000e-08  1.021928231587e-01  1.016398308550e-01  1.015409585768e-01  1.015619344896e-01 
 4.200000000000e-08  2.530229950765e-01  2.472543437455e-01  2.474322809625e-01  2.479145060250e-01 
 4.400000000000e-08  4.624966684904e-01  4.541526106216e-01  4.585434149337e-01  4.591708274936e-01 
 4.600000000000e-08  4.691184649643e-01  4.763693723325e-01  4.724530450129e-01  4.719450577920e-01 
 4.800000000000e-08  2.646220990663e-01  2.710540230604e-01  2.705024218755e-01  2.699337695848e-01 
 5.000000000000e-08  1.042895530992e-01  1.052963861799e-01  1.055533973689e-01  1.054962919902e-01 
 5.200000000000e-08  1.882711328273e-01  1.840807452430e-01  1.837051002700e-01  1.840031119343e-01 
 5.400000000000e-08  4.117288668968e-01  4.029856901027e-01  4.063945454174e-01  4.071369965201e-01 
 5.600000000000e-08  4.957104469692e-01  4.978108406255e-01  4.968632169795e-01  4.967010698259e-01 
 5.800000000000e-08  3.353779012608e-01  3.434599508176e-01  3.414165966481e-01  3.407004890008e-01 
 6.000000000000e-08  1.308815352130e-01  1.334643402699e-01  1.339576372594e-01  1.337955301511e-01 
 6.200000000000e-08  1.375033313157e-01  1.348771883964e-01  1.344308975153e-01  1.345804123992e-01 
 6.400000000000e-08  3.469770046006e-01  3.392112574298e-01  3.410241695758e-01  3.417209381104e-01 
 6.600000000000e-08  4.978071767926e-01  4.939569290601e-01  4.966056995419e-01  4.968344907374e-01 
 6.800000000000e-08  4.017057813568e-01  4.108735493640e-01  4.070983792551e-01  4.063565223296e-01 
 7.000000000000e-08  1.786404989965e-01  1.828348654369e-01  1.832461660722e-01  1.829298334991e-01 
 7.200000000000e-08  1.070737229856e-01  1.060024329119e-01  1.057898383830e-01  1.058375749872e-01 
 7.400000000000e-08  2.763454685701e-01  2.700537803500e-01  2.705460015704e-01  2.710902174318e-01 
 7.600000000000e-08  4.751462263081e-01  4.674464709272e-01  4.718012881294e-01  4.723523293766e-01 
 7.800000000000e-08  4.553040969289e-01  4.635837256061e-01  4.592650156160e-01  4.586697359441e-01 
 8.000000000000e-08  2.415889001749e-01  2.474531093927e-01  2.472532476289e-01  2.467472184908e-01 
 8.200000000000e-08  1.007908982390e-01  1.012766315106e-01  1.014191693896e-01  1.013892660892e-01 
 8.400000000000e-08  2.086745497250e-01  2.039589693039e-01  2.037061094309e-01  2.040632573766e-01 
 8.600000000000e-08  4.305638554364e-01  4.217431626146e-01  4.256091120370e-01  4.263325906105e-01 
 8.800000000000e-08  4.894644464753e-01  4.935429595141e-01  4.913825918178e-01  4.910945174488e-01 
 9.000000000000e-08  3.118480741943e-01  3.194023013615e-01  3.179206420016e-01  3.172437978609e-01 
 9.200000000000e-08  1.194412196792e-01  1.214959475925e-01  1.219356902931e-01  1.218135389812e-01 
 9.400000000000e-08  1.524339861307e-01  1.492880996477e-01  1.488221379342e-01  1.490157265364e-01 
 9.600000000000e-08  3.696400239312e-01  3.614608352216e-01  3.638051592449e-01  3.645324946321e-01 
 9.800000000000e-08  4.999112974946e-01  4.979177038354e-01  4.994896641804e-01  4.995903944846e-01 
 1.000000000000e-07  3.806243352180e-01  3.895597891889e-01  3.863238941725e-01  3.855728617069e-01 
 1.020000000000e-07  1.606904004345e-01  1.643419979629e-01  1.648293762955e-01  1.645699227191e-01 
 1.040000000000e-07  1.146628848423e-01  1.130735684140e-01  1.127606284895e-01  1.128379536961e-01 
 1.060000000000e-07  2.999999998341e-01  2.931943455152e-01  2.940675123992e-01  2.946700306088e-01 
 1.080000000000e-07  4.853371150330e-01  4.785983805641e-01  4.826609624808e-01  4.831184169500e-01 
 1.100000000000e-07  4.393095998035e-01  4.482205345781e-01  4.438278156782e-01  4.431636731702e-01 
 1.120000000000e-07  2.193756650862e-01  2.246764261817e-01  2.247513463402e-01  2.243098363550e-01 
 1.140000000000e-07  1.000878326982e-01  1.000537414984e-01  1.000754146971e-01  1.000710248083e-01 
 0.000000000000e+00  2.999999999982e-01  8.711528603189e-04  8.904106884566e-04  2.617090014389e-03 
 2.000000000000e-09  4.929261016459e-01  4.868554709734e-01  4.907514254555e-01  4.911413087234e-01 
 4.000000000000e-09  4.017056890195e-01  4.118139541021e-01  4.076295620349e-01  4.068146138308e-01 
 6.000000000000e-09  1.606905270377e-01  1.647215269302e-01  1.652577612625e-01  1.649699518014e-01 
 8.000000000000e-09  1.248539326110e-01  1.225470313092e-01  1.221193986217e-01  1.222398663907e-01 
 1.000000000000e-08  3.469769618600e-01  3.384618576850e-01  3.404324766898e-01  3.411966362570e-01 
 1.200000000000e-08  4.999111158835e-01  4.975809598370e-01  4.994230541449e-01  4.995411124514e-01 
 1.400000000000e-08  3.584110471429e-01  3.678570931389e-01  3.649159066142e-01  3.640990989947e-01 
 1.600000000000e-08  1.308816888836e-01  1.337350789038e-01  1.342810172370e-01  1.341007739278e-01 
 1.800000000000e-08  1.524341201420e-01  1.489861043852e-01  1.484766077747e-01  1.486875220866e-01 
 2.000000000000e-08  3.913253669559e-01  3.819867063160e-01  3.851323018269e-01  3.859488473514e-01 
 2.200000000000e-08  4.957102691901e-01  4.978546856830e-01  4.969538770560e-01  4.967829130554e-01 
 2.400000000000e-08  3.118480634970e-01  3.201889949608e-01  3.185319550338e-01  3.177851485282e-01 
 2.600000000000e-08  1.105357257710e-01  1.122295060207e-01  1.126286815455e-01  1.125310068455e-01 
 2.800000000000e-08  1.882712342722e-01  1.836761373062e-01  1.832627103314e-01  1.835880250510e-01 
 3.000000000000e-08  4.305637367760e-01  4.208836540634e-01  4.251056865693e-01  4.259023351914e-01 
 3.200000000000e-08  4.805586164638e-01  4.868393802410e-01  4.834514808505e-01  4.830128172897e-01 
 3.400000000000e-08  2.646221312704e-01  2.717220536083e-01  2.710995675402e-01  2.704710078315e-01 
 3.600000000000e-08  1.007910792159e-01  1.013360127641e-01  1.014984111699e-01  1.014642947970e-01 
 3.800000000000e-08  2.303600389594e-01  2.246107075054e-01  2.245291931593e-01  2.249873729959e-01 
 4.000000000000e-08  4.624965208323e-01  4.533180488139e-01  4.581335458233e-01  4.588268240128e-01 
 4.200000000000e-08  4.553039558852e-01  4.643540460611e-01  4.596438078783e-01  4.589934941384e-01 
 4.400000000000e-08  2.193757383899e-01  2.252259751948e-01  2.253007265329e-01  2.248120573929e-01 
 4.600000000000e-08  1.021930028464e-01  1.015952659349e-01  1.014921590361e-01  1.015140429788e-01 
 4.800000000000e-08  2.763454899934e-01  2.694454636655e-01  2.699755956947e-01  2.705712435226e-01 
 5.000000000000e-08  4.853369466387e-01  4.778786660883e-01  4.823737717844e-01  4.828821255465e-01 
 5.200000000000e-08  4.213593910715e-01  4.314686930337e-01  4.268456255980e-01  4.260633892354e-01 
 5.400000000000e-08  1.786406092979e-01  1.832700255346e-01  1.837210911897e-01  1.833703963463e-01 
 5.600000000000e-08  1.146630531865e-01  1.129257335911e-01  1.125866738083e-01  1.126703410819e-01 
 5.800000000000e-08  3.236545095451e-01  3.156480437019e-01  3.170770446792e-01  3.177941285927e-01 
 6.000000000000e-08  4.978069970851e-01  4.934637319267e-01  4.964619978552e-01  4.967204988728e-01 
 6.200000000000e-08  3.806242620355e-01  3.904856557014e-01  3.868893309330e-01  3.860631591851e-01 
 6.400000000000e-08  1.446960444076e-01  1.481354328914e-01  1.487007651018e-01  1.484699061954e-01 
 6.600000000000e-08  1.375034788968e-01  1.346265220922e-01  1.341392668538e-01  1.343019755693e-01 
 6.800000000000e-08  3.696399606050e-01  3.606715152379e-01  3.632223821826e-01  3.640207808281e-01 
 7.000000000000e-08  4.992089208251e-01  4.990840331809e-01  4.995890392862e-01  4.995623385826e-01 
 7.200000000000e-08  3.353778691870e-01  3.443020942709e-01  3.420226805132e-01  3.412330926351e-01 
 7.400000000000e-08  1.194413837359e-01  1.217132382383e-01  1.222012924219e-01  1.220652298379e-01 
 7.600000000000e-08  1.694362628720e-01  1.654156631319e-01  1.649278540767e-01  1.651931500858e-01 
 7.800000000000e-08  4.117287653418e-01  4.021385715580e-01  4.058554811385e-01  4.066722111385e-01 
 8.000000000000e-08  4.894642743778e-01  4.937931839073e-01  4.915508294855e-01  4.912409520995e-01 
 8.200000000000e-08  2.881519369670e-01  2.958783993476e-01  2.947793252941e-01  2.940871708487e-01 
 8.400000000000e-08  1.042897309055e-01  1.054080827452e-01  1.056963061961e-01  1.056321501678e-01 
 8.600000000000e-08  2.086746326307e-01  2.035030823990e-01  2.032224392371e-01  2.036126125718e-01 
 8.800000000000e-08  4.475658795441e-01  4.380061685981e-01  4.426125982302e-01  4.433683399807e-01 
 9.000000000000e-08  4.691183113645e-01  4.769970442416e-01  4.727670651890e-01  4.722136760639e-01 
 9.200000000000e-08  2.415889533017e-01  2.480614817467e-01  2.478308100286e-01  2.472710073606e-01 
 9.400000000000e-08  1.000888841029e-01  1.000619193298e-01  1.000914921868e-01  1.000854846894e-01 
 9.600000000000e-08  2.530230376883e-01  2.466963647150e-01  2.468835466347e-01  2.474111225169e-01 
 9.800000000000e-08  4.751460671649e-01  4.666564340976e-01  4.714492568904e-01  4.720596730287e-01 
 1.000000000000e-07  4.393094732960e-01  4.490902180679e-01  4.442655312776e-01  4.435382723902e-01 
 1.020000000000e-07  1.982943113806e-01  2.035299739824e-01  2.038302956235e-01  2.034120097097e-01 
 1.040000000000e-07  1.070738982316e-01  1.059061634525e-01  1.056776858965e-01  1.057289409398e-01 
 1.060000000000e-07  2.999999997676e-01  2.925367726100e-01  2.934817377570e-01  2.941416791651e-01 
 1.080000000000e-07  4.929261016458e-01  4.868554709997e-01  4.907509748593e-01  4.911409979373e-01 
 1.100000000000e-07  4.017056890191e-01  4.118139541022e-01  4.076306168340e-01  4.068154065568e-01 
 1.120000000000e-07  1.606905270377e-01  1.647215269303e-01  1.652585042826e-01  1.649706081838e-01 
 1.140000000000e-07  1.248530115609e-01  1.225461111936e-01  1.221180796828e-01  1.222385752182e-01 
 0.000000000000e+00  3.000000000005e-01  8.711522473378e-04  8.904101814592e-04  2.617089667693e-03 
 2.000000000000e-09  4.978068006236e-01  4.929561534808e-01  4.963143074806e-01  4.966036453857e-01 
 4.000000000000e-09  3.584109892130e-01  3.687540411399e-01  3.655059593495e-01  3.646138234358e-01 
 6.000000000000e-09  1.194415630910e-01  1.219327007675e-01  1.224695959942e-01  1.223193193666e-01 
 8.000000000000e-09  1.882713451645e-01  1.832740611338e-01  1.828228607064e-01  1.831750467401e-01 
 1.000000000000e-08  4.475657329349e-01  4.371528349066e-01  4.421506151680e-01  4.429769859853e-01 
 1.200000000000e-08  4.553038017002e-01  4.651079445512e-01  4.600193189162e-01  4.593148694373e-01 
 1.400000000000e-08  1.982944124603e-01  2.040250972554e-01  2.043475564960e-01  2.038881138529e-01 
 1.600000000000e-08  1.146632372196e-01  1.127798839464e-01  1.124156298700e-01  1.125053965969e-01 
 1.800000000000e-08  3.469769151241e-01  3.377170716199e-01  3.398408303550e-01  3.406720921465e-01 
 2.000000000000e-08  4.992087229914e-01  4.989040105326e-01  4.995964430216e-01  4.995754643546e-01 
 2.200000000000e-08  3.118480518139e-01  3.209818394306e-01  3.191446538560e-01  3.183273438938e-01 
 2.400000000000e-08  1.042899252895e-01  1.055217836328e-01  1.058419806858e-01  1.057705400496e-01 
 2.600000000000e-08  2.303601080427e-01  2.241066182281e-01  2.240124712988e-01  2.245091889974e-01 
 2.800000000000e-08  4.751458931805e-01  4.658651483598e-01  4.710949254396e-01  4.717652033721e-01 
 3.000000000000e-08  4.213592706117e-01  4.323910826614e-01  4.273321761157e-01  4.264812629621e-01 
 3.200000000000e-08  1.606906654509e-01  1.651037501335e-01  1.656897079560e-01  1.653729749075e-01 
 3.400000000000e-08  1.375036402289e-01  1.343779789584e-01  1.338506333288e-01  1.340262149268e-01 
 3.600000000000e-08  3.913252761830e-01  3.811689543944e-01  3.845666374046e-01  3.854564401554e-01 
 3.800000000000e-08  4.894640862410e-01  4.940139287577e-01  4.917145905336e-01  4.913842548534e-01 
 4.000000000000e-08  2.646221664878e-01  2.723949463862e-01  2.716985334293e-01  2.710094743818e-01 
 4.200000000000e-08  1.000890826391e-01  1.000711627028e-01  1.001096651591e-01  1.001018252654e-01 
 4.400000000000e-08  2.763455134023e-01  2.688407246693e-01  2.694067280802e-01  2.700533110113e-01 
 4.600000000000e-08  4.929259100223e-01  4.862250665597e-01  4.905296854923e-01  4.909616938698e-01 
 4.800000000000e-08  3.806241820411e-01  3.914168739166e-01  3.874540339081e-01  3.865527283887e-01 
 5.000000000000e-08  1.308818568857e-01  1.340081206961e-01  1.346077062531e-01  1.344089156325e-01 
 5.200000000000e-08  1.694363924761e-01  1.650647227672e-01  1.645342123079e-01  1.648211839045e-01 
 5.400000000000e-08  4.305636070449e-01  4.200284253994e-01  4.246001933150e-01  4.254702965925e-01 
 5.600000000000e-08  4.691181434517e-01  4.776015001886e-01  4.730768771246e-01  4.724792891543e-01 
 5.800000000000e-08  2.193758185373e-01  2.257792715282e-01  2.258530580843e-01  2.253165410263e-01 
 6.000000000000e-08  1.070740898113e-01  1.058118427830e-01  1.055686101864e-01  1.056231514220e-01 
 6.200000000000e-08  3.236544859698e-01  3.149473513141e-01  3.164849981571e-01  3.172644633238e-01 
 6.400000000000e-08  4.999109173417e-01  4.972244814865e-01  4.993518828225e-01  4.994886246634e-01 
 6.600000000000e-08  3.353778341343e-01  3.451508213855e-01  3.426287883941e-01  3.417654778326e-01 
 6.800000000000e-08  1.105359139615e-01  1.123958885525e-01  1.128369731589e-01  1.127287633529e-01 
 7.000000000000e-08  2.086747232545e-01  2.030499306404e-01  2.027413163849e-01  2.031640241744e-01 
 7.200000000000e-08  4.624963594020e-01  4.524848805404e-01  4.577209381604e-01  4.584806436349e-01 
 7.400000000000e-08  4.393093350028e-01  4.499509871898e-01  4.447003346821e-01  4.439106968692e-01 
 7.600000000000e-08  1.786407298908e-01  1.837081579089e-01  1.841989463675e-01  1.838133300064e-01 
 7.800000000000e-08  1.248541065142e-01  1.223497838683e-01  1.218878928857e-01  1.220176525306e-01 
 8.000000000000e-08  3.696398913647e-01  3.598870663617e-01  3.626394070475e-01  3.635086315860e-01 
 8.200000000000e-08  4.957100748407e-01  4.978703395407e-01  4.970402142202e-01  4.968617541064e-01 
 8.400000000000e-08  2.881519488173e-01  2.966118121984e-01  2.953895890628e-01  2.946314297835e-01 
 8.600000000000e-08  1.007912770648e-01  1.013973530770e-01  1.015807599676e-01  1.015421916455e-01 
 8.800000000000e-08  2.530230842614e-01  2.461416446867e-01  2.463373376458e-01  2.469096576587e-01 
 9.000000000000e-08  4.853367625428e-01  4.771541381737e-01  4.820826197661e-01  4.826428987813e-01 
