 time             v(vi)            v(vo)           
 4.390000000e-08  5.248284096e-01  6.463199260e-01 
 4.590000000e-08  3.137661822e-01  3.724237598e-01 
 4.790000000e-08  3.723566260e-01  3.140123162e-01 
 4.990000000e-08  6.454043060e-01  5.247660558e-01 
 5.190000000e-08  8.756778683e-01  8.057748435e-01 
 5.390000000e-08  8.462421861e-01  8.939973169e-01 
 5.590000000e-08  5.848296731e-01  7.051986314e-01 
 5.790000000e-08  3.377085090e-01  4.165220186e-01 
 5.990000000e-08  3.376843217e-01  3.017136758e-01 
 6.190000000e-08  5.847808559e-01  4.680183863e-01 
 6.390000000e-08  8.462155646e-01  7.578480356e-01 
 6.590000000e-08  8.756963686e-01  8.997939322e-01 
 6.790000000e-08  6.454520681e-01  7.597199483e-01 
 6.990000000e-08  3.723892520e-01  4.681943310e-01 
 7.190000000e-08  3.137511564e-01  3.016306556e-01 
 1.900000000e-09  8.744620379e-01  7.851391923e-01 
 3.900000000e-09  8.089021774e-01  8.856542855e-01 
 5.900000000e-09  4.706456809e-01  6.131581026e-01 
 7.900000000e-09  3.012445134e-01  3.231913811e-01 
 9.900000000e-09  5.218366262e-01  3.958964149e-01 
 1.190000000e-08  8.444627249e-01  7.339391859e-01 
 1.390000000e-08  8.479682885e-01  8.980642980e-01 
 1.590000000e-08  5.277802302e-01  6.734175155e-01 
 1.790000000e-08  3.018669144e-01  3.521247170e-01 
 1.990000000e-08  4.651326459e-01  3.559239014e-01 
 2.190000000e-08  8.044546729e-01  6.774576359e-01 
 2.390000000e-08  8.768817986e-01  8.982891255e-01 
 2.590000000e-08  5.878716631e-01  7.306232105e-01 
 2.790000000e-08  3.146939328e-01  3.912818712e-01 
 2.990000000e-08  4.139502700e-01  3.258960112e-01 
 3.190000000e-08  7.560763782e-01  6.178177571e-01 
 3.390000000e-08  8.944604847e-01  8.863528869e-01 
 3.590000000e-08  6.484595370e-01  7.824095133e-01 
 3.790000000e-08  3.392010781e-01  4.390618544e-01 
 3.990000000e-08  3.703849116e-01  3.070599358e-01 
 4.190000000e-08  7.013078408e-01  5.574337655e-01 
 4.390000000e-08  8.999833901e-01  8.627679084e-01 
 4.590000000e-08  7.070635309e-01  8.266466018e-01 
 4.790000000e-08  3.743849964e-01  4.934990516e-01 
 4.990000000e-08  3.362198327e-01  3.002108764e-01 
 5.190000000e-08  6.423920417e-01  4.987543971e-01 
 5.390000000e-08  8.932251573e-01  8.285101852e-01 
 5.590000000e-08  7.612849348e-01  8.615301761e-01 
 5.790000000e-08  4.188067485e-01  5.523441333e-01 
 5.990000000e-08  3.128540201e-01  3.056540788e-01 
 6.190000000e-08  5.817404502e-01  4.441660472e-01 
 6.390000000e-08  8.744618696e-01  7.849784672e-01 
 6.590000000e-08  8.089022818e-01  8.856542550e-01 
 6.790000000e-08  4.706456881e-01  6.131581089e-01 
 6.990000000e-08  3.012447228e-01  3.231918147e-01 
 7.190000000e-08  5.218364135e-01  3.958964445e-01 
 1.900000000e-09  8.925663349e-01  8.099728617e-01 
 3.900000000e-09  7.099021773e-01  8.436897240e-01 
 5.900000000e-09  3.407202938e-01  4.629996546e-01 
 7.900000000e-09  4.115704485e-01  3.160621616e-01 
 9.900000000e-09  8.022153475e-01  6.508144894e-01 
 1.190000000e-08  8.496686757e-01  8.995862180e-01 
 1.390000000e-08  4.733997871e-01  6.407078909e-01 
 1.590000000e-08  3.119882530e-01  3.121424603e-01 
 1.790000000e-08  6.393752395e-01  4.736058497e-01 
 1.990000000e-08  8.999371274e-01  8.484235705e-01 
 2.190000000e-08  6.514619343e-01  8.035175562e-01 
 2.390000000e-08  3.156492436e-01  4.119309222e-01 
 2.590000000e-08  4.624198154e-01  3.411884109e-01 
 2.790000000e-08  8.426844039e-01  7.089663047e-01 
 2.990000000e-08  8.110766138e-01  8.926896911e-01 
 3.190000000e-08  4.212430150e-01  5.798135018e-01 
 3.390000000e-08  3.347831146e-01  3.012062516e-01 
 3.590000000e-08  6.984363068e-01  5.307009989e-01 
 3.790000000e-08  8.950265348e-01  8.769649939e-01 
 3.990000000e-08  5.909148461e-01  7.549233473e-01 
 4.190000000e-08  3.022215425e-01  3.686480868e-01 
 4.390000000e-08  5.189008005e-01  3.768666552e-01 
 4.590000000e-08  8.732186409e-01  7.626871675e-01 
 4.790000000e-08  7.638432475e-01  8.738136908e-01 
