 time             v(vi)            v(vo)           
 4.390000000e-08  2.458738321e-01  1.537193852e-01 
 4.590000000e-08  4.821208802e-01  4.124102897e-01 
 4.790000000e-08  4.092792575e-01  4.805275553e-01 
 4.990000000e-08  1.509785184e-01  2.421651441e-01 
 5.190000000e-08  1.455843886e-01  1.020661030e-01 
 5.390000000e-08  4.022599317e-01  2.979136782e-01 
 5.590000000e-08  4.853818763e-01  4.972731926e-01 
 5.790000000e-08  2.538868205e-01  3.619842990e-01 
 5.990000000e-08  1.006510150e-01  1.213686888e-01 
 6.190000000e-08  2.857396671e-01  1.841394469e-01 
 6.390000000e-08  4.950314678e-01  4.433684524e-01 
 6.590000000e-08  3.733246417e-01  4.595220234e-01 
 6.790000000e-08  1.271789370e-01  2.047870551e-01 
 6.990000000e-08  1.743313754e-01  1.118226890e-01 
 7.190000000e-08  4.347664104e-01  3.381673882e-01 
 1.900000000e-09  4.999033235e-01  4.583053160e-01 
 3.900000000e-09  2.960430811e-01  4.139765722e-01 
 5.900000000e-09  1.004975221e-01  1.300081105e-01 
 7.900000000e-09  3.241668887e-01  2.034908767e-01 
 9.900000000e-09  4.970535500e-01  4.796232577e-01 
 1.190000000e-08  2.558734244e-01  3.785456332e-01 
 1.390000000e-08  1.074146324e-01  1.122926025e-01 
 1.590000000e-08  3.636372660e-01  2.406856974e-01 
 1.790000000e-08  4.861364676e-01  4.936102338e-01 
 1.990000000e-08  2.175101282e-01  3.398881651e-01 
 2.190000000e-08  1.222161206e-01  1.022718553e-01 
 2.390000000e-08  4.005024839e-01  2.802997753e-01 
 2.590000000e-08  4.675993607e-01  4.996825196e-01 
 2.790000000e-08  1.825235872e-01  2.995913462e-01 
 2.990000000e-08  1.442970097e-01  1.003525210e-01 
 3.190000000e-08  4.332523670e-01  3.207150886e-01 
 3.390000000e-08  4.422006823e-01  4.975868017e-01 
 3.590000000e-08  1.523469554e-01  2.593103286e-01 
 3.790000000e-08  1.727519176e-01  1.066090548e-01 
 3.990000000e-08  4.605469499e-01  3.602806105e-01 
 4.190000000e-08  4.109807394e-01  4.874026926e-01 
 4.390000000e-08  1.282141904e-01  2.206995831e-01 
 4.590000000e-08  2.064169954e-01  1.207812841e-01 
 4.790000000e-08  4.812695249e-01  3.973818654e-01 
 4.990000000e-08  3.752174420e-01  4.695410217e-01 
 5.190000000e-08  1.111148428e-01  1.853447192e-01 
 5.390000000e-08  2.439138274e-01  1.422849201e-01 
 5.590000000e-08  4.945689952e-01  4.305046783e-01 
 5.790000000e-08  3.363747876e-01  4.447286383e-01 
 5.990000000e-08  1.017480694e-01  1.546953578e-01 
 6.190000000e-08  2.837067476e-01  1.702365569e-01 
 6.390000000e-08  4.999042206e-01  4.582972635e-01 
 6.590000000e-08  2.960430822e-01  4.139767897e-01 
 6.790000000e-08  1.004970088e-01  1.300080732e-01 
 6.990000000e-08  3.241669011e-01  2.034909750e-01 
 7.190000000e-08  4.970538190e-01  4.796232866e-01 
 1.900000000e-09  4.973917515e-01  4.711670453e-01 
 3.900000000e-09  2.193720116e-01  3.570504588e-01 
 5.900000000e-09  1.430245441e-01  1.001968538e-01 
 7.900000000e-09  4.593228085e-01  3.432338475e-01 
 9.900000000e-09  3.771024916e-01  4.782264620e-01 
 1.190000000e-08  1.020276719e-01  1.674034486e-01 
 1.390000000e-08  3.221415299e-01  1.884428783e-01 
 1.590000000e-08  4.868725378e-01  4.884353286e-01 
 1.790000000e-08  1.841797400e-01  3.172682514e-01 
 1.990000000e-08  1.711858843e-01  1.029027247e-01 
 2.190000000e-08  4.803984429e-01  3.815997287e-01 
 2.390000000e-08  3.383774662e-01  4.563414896e-01 
 2.590000000e-08  1.003647009e-01  1.399776143e-01 
 2.790000000e-08  3.617010540e-01  2.240948995e-01 
 2.990000000e-08  4.687033686e-01  4.980106794e-01 
 3.190000000e-08  1.537301472e-01  2.767750790e-01 
 3.390000000e-08  2.046201614e-01  1.136801195e-01 
 3.590000000e-08  4.940863612e-01  4.166281822e-01 
 3.790000000e-08  2.980816969e-01  4.280428934e-01 
 3.990000000e-08  1.068747877e-01  1.191172971e-01 
 4.190000000e-08  3.987343352e-01  2.628439412e-01 
 4.390000000e-08  4.436278250e-01  4.994897863e-01 
 4.590000000e-08  1.292680871e-01  2.372348538e-01 
 4.790000000e-08  2.419597741e-01  1.320801372e-01 
 4.990000000e-08  4.998295696e-01  4.468918806e-01 
 5.190000000e-08  2.578644345e-01  3.944876012e-01 
 5.390000000e-08  1.212914407e-01  1.056745988e-01 
 5.590000000e-08  4.317251242e-01  3.031059767e-01 
 5.790000000e-08  4.126704999e-01  4.928061723e-01 
 5.990000000e-08  1.117951288e-01  2.002718057e-01 
 6.190000000e-08  2.816755297e-01  1.573466278e-01 
 6.390000000e-08  4.973922322e-01  4.711600772e-01 
 6.590000000e-08  2.193719631e-01  3.570504623e-01 
 6.790000000e-08  1.430253554e-01  1.001969177e-01 
 6.990000000e-08  4.593237469e-01  3.432372673e-01 
 7.190000000e-08  3.771023527e-01  4.782265446e-01 
 1.900000000e-09  4.875886026e-01  4.817961918e-01 
 3.900000000e-09  1.551279779e-01  2.944209601e-01 
 5.900000000e-09  2.400116337e-01  1.231847784e-01 
 7.900000000e-09  4.977088960e-01  4.613644327e-01 
 9.900000000e-09  1.858492353e-01  3.348073303e-01 
 1.190000000e-08  2.028331134e-01  1.080323330e-01 
 1.390000000e-08  4.997353493e-01  4.343486940e-01 
 1.590000000e-08  2.212423820e-01  3.737615972e-01 
 1.790000000e-08  1.696328934e-01  1.007363999e-01 
 1.990000000e-08  4.935843777e-01  4.018472526e-01 
 2.190000000e-08  2.598598145e-01  4.096836886e-01 
 2.390000000e-08  1.417703057e-01  1.016012303e-01 
 2.590000000e-08  4.795075159e-01  3.651865070e-01 
 2.790000000e-08  3.001204766e-01  4.410999035e-01 
 2.990000000e-08  1.203853106e-01  1.105958768e-01 
 3.190000000e-08  4.580823858e-01  3.258616102e-01 
 3.390000000e-08  3.403761788e-01  4.667243113e-01 
 3.590000000e-08  1.063535244e-01  1.273564630e-01 
 3.790000000e-08  4.301840108e-01  2.854765829e-01 
 3.990000000e-08  3.789796366e-01  4.855110751e-01 
 4.190000000e-08  1.002520912e-01  1.512001526e-01 
 4.390000000e-08  3.969563505e-01  2.456802346e-01 
