 time            v(vop,vom)     
 3.25000000e-08 -2.12997311e-01 
 3.45000000e-08 -8.49073660e-03 
 3.65000000e-08  2.30869992e-01 
 3.85000000e-08 -3.71386169e-01 
 4.05000000e-08  3.85037743e-01 
 4.25000000e-08 -2.73290262e-01 
 4.45000000e-08  6.95329223e-02 
 4.65000000e-08  1.61988805e-01 
 4.85000000e-08 -3.37644361e-01 
 5.05000000e-08  3.95130000e-01 
 5.25000000e-08 -3.23119501e-01 
 5.45000000e-08  1.44312557e-01 
 5.65000000e-08  8.67429479e-02 
 5.85000000e-08 -2.90247292e-01 
 6.05000000e-08  3.90688277e-01 
 6.25000000e-08 -3.60712657e-01 
 6.45000000e-08  2.13050906e-01 
 6.65000000e-08  8.49080853e-03 
 6.85000000e-08 -2.30864321e-01 
 7.02000000e-08  3.62471824e-01 
 2.50000000e-09 -8.65237789e-02 
 4.50000000e-09 -6.94922740e-02 
 6.50000000e-09  2.16284024e-01 
 8.50000000e-09 -3.28023421e-01 
 1.05000000e-08  3.87325052e-01 
 1.25000000e-08 -3.88064475e-01 
 1.45000000e-08  3.32207632e-01 
 1.65000000e-08 -2.27036251e-01 
 1.85000000e-08  8.65232140e-02 
 2.05000000e-08  6.95036416e-02 
 2.25000000e-08 -2.16264089e-01 
 2.45000000e-08  3.28015152e-01 
 2.65000000e-08 -3.87326657e-01 
 2.85000000e-08  3.88064202e-01 
 3.05000000e-08 -3.32219752e-01 
 3.25000000e-08  2.27046665e-01 
 3.45000000e-08 -8.65270797e-02 
 3.65000000e-08 -6.95044085e-02 
 3.85000000e-08  2.16227223e-01 
 4.05000000e-08 -3.28015906e-01 
 4.25000000e-08  3.87256928e-01 
 4.45000000e-08 -3.88064171e-01 
 4.65000000e-08  3.32218639e-01 
 4.85000000e-08 -2.27079544e-01 
 5.05000000e-08  8.65442555e-02 
 5.25000000e-08  6.95045121e-02 
 5.45000000e-08 -2.16224166e-01 
 5.65000000e-08  3.28018097e-01 
 5.85000000e-08 -3.87296523e-01 
 6.05000000e-08  3.88064553e-01 
 6.25000000e-08 -3.32220673e-01 
 6.45000000e-08  2.27092479e-01 
 6.65000000e-08 -8.65340404e-02 
 6.85000000e-08 -6.95044378e-02 
 7.02000000e-08  3.17155723e-01 
 2.50000000e-09 -1.75615084e-01 
 4.50000000e-09  1.03334820e-01 
 6.50000000e-09 -2.64549809e-02 
 8.50000000e-09 -5.21233652e-02 
 1.05000000e-08  1.29129293e-01 
 1.25000000e-08 -2.01168928e-01 
 1.45000000e-08  2.64988843e-01 
 1.65000000e-08 -3.17783228e-01 
 1.85000000e-08  3.57573278e-01 
 2.05000000e-08 -3.83190791e-01 
 2.25000000e-08  3.94125523e-01 
 2.45000000e-08 -3.90421046e-01 
 2.65000000e-08  3.72448345e-01 
 2.85000000e-08 -3.40674332e-01 
 3.05000000e-08  2.96260496e-01 
 3.25000000e-08 -2.40590623e-01 
 3.45000000e-08  1.75615065e-01 
 3.65000000e-08 -1.03334833e-01 
 3.85000000e-08  2.64352685e-02 
 4.05000000e-08  5.21226121e-02 
 4.25000000e-08 -1.29096232e-01 
 4.45000000e-08  2.01162621e-01 
 4.65000000e-08 -2.64999838e-01 
 4.85000000e-08  3.17772531e-01 
 5.05000000e-08 -3.57613849e-01 
 5.25000000e-08  3.83238294e-01 
 5.45000000e-08 -3.94125580e-01 
 5.65000000e-08  3.90420813e-01 
 5.85000000e-08 -3.72464521e-01 
 6.05000000e-08  3.40678877e-01 
 6.25000000e-08 -2.96276979e-01 
 6.45000000e-08  2.40687426e-01 
 6.65000000e-08 -1.75615108e-01 
 6.85000000e-08  1.03334804e-01 
 7.02000000e-08  1.56657494e-01 
