 time            v(vop,vom)     
 2.12500000e-06 -1.60181609e-01 
 2.22500000e-06 -1.48511479e-01 
 2.32500000e-06  1.02340423e-01 
 2.42500000e-06  1.88305798e-01 
 2.52500000e-06 -2.88418161e-02 
 2.62500000e-06 -1.99365084e-01 
 2.72500000e-06 -4.90548686e-02 
 2.82500000e-06  1.80494107e-01 
 2.92500000e-06  1.19454437e-01 
 3.02500000e-06 -1.33813367e-01 
 3.12500000e-06 -1.71716635e-01 
 3.22500000e-06  6.68562984e-02 
 3.32500000e-06  1.97345848e-01 
 3.42500000e-06  1.03098414e-02 
 3.50000000e-06 -5.82178313e-02 
 1.25000000e-07  1.84791533e-01 
 2.25000000e-07 -7.59747634e-02 
 3.25000000e-07 -1.84803151e-01 
 4.25000000e-07  7.59862662e-02 
 5.25000000e-07  1.84958887e-01 
 6.25000000e-07 -7.59665385e-02 
 7.25000000e-07 -1.84944338e-01 
 8.25000000e-07  7.59654720e-02 
 9.25000000e-07  1.84969559e-01 
 1.02500000e-06 -7.59939793e-02 
 1.12500000e-06 -1.84974786e-01 
 1.22500000e-06  7.59828526e-02 
 1.32500000e-06  1.84810739e-01 
 1.42500000e-06 -7.59739489e-02 
 1.52500000e-06 -1.84848243e-01 
 1.62500000e-06  7.59609829e-02 
 1.72500000e-06  1.84818031e-01 
 1.82500000e-06 -7.59830784e-02 
 1.92500000e-06 -1.84823252e-01 
 2.02500000e-06  7.59859446e-02 
 2.12500000e-06  1.84813377e-01 
 2.22500000e-06 -7.59750676e-02 
 2.32500000e-06 -1.84786718e-01 
 2.42500000e-06  7.59652458e-02 
 2.52500000e-06  1.84824228e-01 
 2.62500000e-06 -7.59822159e-02 
 2.72500000e-06 -1.84922800e-01 
 2.82500000e-06  7.59725362e-02 
 2.92500000e-06  1.84874063e-01 
 3.02500000e-06 -7.59658855e-02 
 3.12500000e-06 -1.84948854e-01 
 3.22500000e-06  7.59912815e-02 
 3.32500000e-06  1.84781649e-01 
 3.42500000e-06 -7.59744467e-02 
 3.50000000e-06 -1.42070089e-01 
 1.25000000e-07  1.60999434e-01 
 2.25000000e-07 -1.47696195e-01 
 3.25000000e-07 -1.03366304e-01 
 4.25000000e-07  1.87867654e-01 
 5.25000000e-07  2.99622198e-02 
 6.25000000e-07 -1.99421886e-01 
 7.25000000e-07  4.79535766e-02 
 8.25000000e-07  1.80924005e-01 
 9.25000000e-07 -1.18541146e-01 
 1.02500000e-06 -1.34715399e-01 
 1.12500000e-06  1.71041388e-01 
 1.22500000e-06  6.79448914e-02 
 1.32500000e-06 -1.97619739e-01 
 1.42500000e-06  9.16057500e-03 
 1.52500000e-06  1.94127717e-01 
 1.62500000e-06 -8.48612369e-02 
 1.72500000e-06 -1.61031291e-01 
 1.82500000e-06  1.47614428e-01 
 1.92500000e-06  1.03316320e-01 
 2.02500000e-06 -1.87857007e-01 
 2.12500000e-06 -2.99649620e-02 
 2.22500000e-06  1.99662053e-01 
 2.32500000e-06 -4.79281574e-02 
 2.42500000e-06 -1.80930463e-01 
 2.52500000e-06  1.18560520e-01 
 2.62500000e-06  1.34754914e-01 
 2.72500000e-06 -1.71068500e-01 
 2.82500000e-06 -6.79754381e-02 
 2.92500000e-06  1.97656074e-01 
 3.02500000e-06 -9.16065283e-03 
 3.12500000e-06 -1.94146665e-01 
 3.22500000e-06  8.48911345e-02 
 3.32500000e-06  1.60998334e-01 
 3.42500000e-06 -1.47607591e-01 
 3.50000000e-06 -1.92396478e-01 
 1.25000000e-07  1.27370526e-01 
 2.25000000e-07 -1.90985659e-01 
 3.25000000e-07  1.88833329e-02 
 4.25000000e-07  1.76599535e-01 
 5.25000000e-07 -1.53989121e-01 
 6.25000000e-07 -5.87020403e-02 
 7.25000000e-07  1.98634447e-01 
 8.25000000e-07 -9.35620607e-02 
 9.25000000e-07 -1.27413815e-01 
 1.02500000e-06  1.91132388e-01 
 1.12500000e-06 -1.88838920e-02 
 1.22500000e-06 -1.76577943e-01 
 1.32500000e-06  1.53989255e-01 
 1.42500000e-06  5.87018980e-02 
 1.52500000e-06 -1.98561133e-01 
 1.62500000e-06  9.35642419e-02 
 1.72500000e-06  1.27428069e-01 
 1.82500000e-06 -1.91102087e-01 
 1.92500000e-06  1.88756972e-02 
 2.02500000e-06  1.76551457e-01 
 2.12500000e-06 -1.54003064e-01 
 2.22500000e-06 -5.87080034e-02 
 2.32500000e-06  1.98755721e-01 
 2.42500000e-06 -9.35821719e-02 
 2.52500000e-06 -1.27350610e-01 
 2.62500000e-06  1.91036439e-01 
 2.72500000e-06 -1.88804223e-02 
 2.82500000e-06 -1.76699702e-01 
 2.92500000e-06  1.54034597e-01 
 3.02500000e-06  5.87054826e-02 
 3.12500000e-06 -1.98684407e-01 
 3.22500000e-06  9.35846880e-02 
 3.32500000e-06  1.27344049e-01 
 3.42500000e-06 -1.91019135e-01 
 3.50000000e-06 -1.97334015e-01 
 1.25000000e-07  8.61898331e-02 
 2.25000000e-07 -1.97258900e-01 
 3.25000000e-07  1.33591478e-01 
 4.25000000e-07  4.93453541e-02 
 5.25000000e-07 -1.88568971e-01 
 6.25000000e-07  1.60074519e-01 
 7.25000000e-07  1.06003324e-02 
